Ano,Região,UF,Nome do Município,Localização,Dependência Administrativa,Ano de Ensino,Código da Escola,Abandono,Aprovacao,Reprovacao
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006836,0.0,68.8,31.2
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006844,0.0,82.4,17.6
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006852,0.0,94.1,5.9
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006860,0.0,82.6,17.4
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006879,0.0,55.0,45.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006887,0.0,75.6,24.4
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006895,0.0,87.5,12.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53006917,0.0,80.0,20.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53007000,0.0,95.5,4.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53007018,0.0,90.0,10.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53008111,0.0,59.3,40.7
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53008120,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53008162,0.0,75.0,25.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53009347,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53009398,0.0,77.3,22.7
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53009711,0.0,75.6,24.4
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53009746,0.0,77.0,23.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53009762,0.0,82.4,17.6
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53011015,0.0,81.5,18.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53012070,0.0,96.3,3.7
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53012178,0.0,76.2,23.8
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53012550,0.0,80.4,19.6
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53012666,0.0,80.5,19.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53012739,10.0,80.0,10.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53013492,0.0,90.0,10.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53014278,0.0,85.7,14.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3º Ano,53014545,0.0,81.6,18.4
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53003047,3.0,97.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005171,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005210,2.5,92.5,5.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005740,0.0,98.1,1.9
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53006046,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53006054,0.0,75.0,25.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53008146,0.0,81.0,19.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53009380,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53002466,0.0,87.5,12.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53003055,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53003063,0.0,76.9,23.1
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005007,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005147,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005155,8.3,91.7,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005163,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005180,0.0,84.0,16.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005198,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005201,0.0,81.8,18.2
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005694,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005708,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005716,0.0,92.1,7.9
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005724,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005759,0.0,75.7,24.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005767,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005783,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005791,0.0,90.9,9.1
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005805,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53005988,0.0,95.5,4.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53006020,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53006038,0.0,82.6,17.4
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,4º Ano,53006348,0.0,100.0,0.0
